16,39,14,23,58,65,27,
11,33,12,19,48,54,19,
12,27,11,18,40,48,21,
13,23,10,16,33,45,21,
16,20,10,18,39,52,22,
13,16,9,17,33,55,20,
12,14,10,20,36,50,22,
12,12,10,17,30,50,20,
15,11,11,19,32,59,18,
12,11,11,17,31,49,20,
11,12,13,18,42,46,19,
16,10,11,16,35,49,20,
13,9,10,17,34,51,20,
13,9,10,17,30,50,18,
12,10,11,17,29,42,22,
17,11,12,18,32,52,23,
13,10,11,17,33,43,23,
13,10,11,15,33,67,19,
12,10,11,17,36,56,20,
18,11,10,18,31,52,18,
13,11,9,18,28,43,19,
13,9,12,17,31,43,18,
17,10,10,15,32,41,20,
12,9,9,15,32,43,21,
15,11,11,16,34,50,18,
14,12,11,16,36,50,20,
19,12,10,18,36,48,21,
16,12,15,18,46,57,26,
13,24,13,15,38,47,21,
10,27,11,13,32,58,18,
5,28,11,11,30,57,23,
10,35,12,16,33,55,21,
10,29,13,18,41,58,23,
9,26,14,24,35,62,30,
10,22,14,23,37,65,26,
14,19,13,19,34,57,21,
16,16,11,16,32,65,20,
13,14,12,14,30,54,21,
15,13,10,13,36,55,27,
15,12,16,23,70,65,21,
16,10,18,19,63,57,23,
12,10,16,16,52,53,23,
7,10,14,18,45,52,20,
8,12,14,24,40,55,17,
17,13,13,20,41,66,20,
12,12,12,26,40,55,17,
14,13,13,22,41,49,19,
15,12,13,20,34,49,20,
18,11,13,19,29,40,19,
14,11,12,17,24,41,19,
13,10,10,14,36,58,26,
14,11,18,18,45,54,21,
16,10,15,15,50,63,23,
11,9,13,17,41,67,21,
6,10,11,20,47,56,23,
5,11,11,22,40,49,18,
15,12,12,19,33,51,19,
11,11,11,15,32,44,18,
15,11,13,17,40,51,22,
14,12,15,22,35,49,19,