11,24,16,21,38,67,35,
6,20,14,18,31,56,25,
5,18,13,16,26,46,18,
5,18,14,15,33,39,13,
7,19,15,13,29,32,11,
7,20,14,12,24,36,12,
11,17,13,12,21,33,11,
21,15,12,13,18,34,13,
15,13,10,13,17,39,10,
11,14,10,14,15,33,12,
7,12,11,12,21,39,12,
4,14,11,13,19,35,16,
4,15,10,13,19,30,13,
6,14,10,12,22,32,11,
7,15,10,12,23,30,14,
6,19,11,12,19,33,12,
4,19,11,11,16,29,12,
6,18,13,11,16,35,11,
4,18,13,11,15,35,10,
6,20,13,13,15,29,12,
5,18,13,12,14,28,13,
5,18,11,11,19,39,13,
6,16,10,12,22,35,11,
6,15,11,10,22,32,11,
5,15,10,11,19,34,11,
4,16,12,11,16,35,13,
7,16,14,11,16,30,10,
6,14,15,11,20,29,13,
6,16,13,11,27,34,12,
7,16,11,11,25,30,12,
7,17,12,12,21,30,13,
6,17,12,13,21,28,11,
5,16,10,11,18,25,11,
5,19,11,12,15,21,10,
6,19,10,10,13,20,11,
7,19,10,10,11,19,10,
6,19,9,11,11,17,10,
6,19,11,14,22,35,10,
6,20,14,18,24,31,12,
7,21,12,17,22,38,11,
7,17,14,17,21,39,11,
6,15,12,15,24,32,12,
8,16,13,15,30,35,12,
9,16,12,15,25,37,12,
9,18,13,16,21,32,12,
9,16,14,15,18,32,11,
10,17,15,16,16,28,12,
9,17,13,17,17,30,12,
10,18,14,18,18,27,11,
8,19,14,19,16,24,12,
10,20,16,19,16,26,11,
7,20,13,18,18,33,11,
6,17,13,16,17,27,12,
6,14,12,16,16,38,12,
8,12,16,17,19,32,13,
4,13,16,15,20,39,11,
7,11,20,18,25,37,12,
6,19,23,16,21,39,11,
4,16,23,14,23,36,11,
7,18,20,13,23,35,14,
9,17,26,16,23,38,11,
5,17,21,14,24,34,11,
7,18,21,13,20,36,12,
9,15,21,15,17,34,11,
6,14,21,16,20,43,11,
7,14,24,14,18,36,11,
8,18,24,14,19,38,11,
4,16,26,14,18,33,11,
7,14,24,13,21,43,13,
8,18,23,14,18,36,15,
7,15,22,13,15,35,11,
6,18,22,13,28,37,12,
7,21,22,12,24,31,12,
7,18,19,10,24,31,14,
10,15,19,12,21,34,12,
14,13,18,10,17,31,12,
15,11,17,10,16,39,11,
10,10,17,11,16,35,12,
7,12,20,12,21,46,12,
3,14,21,12,32,41,11,
5,13,21,11,27,34,10,
11,13,18,11,23,32,12,
6,11,17,13,23,36,12,
7,12,17,11,20,46,11,
10,13,18,11,22,49,12,
5,15,18,13,20,49,13,
5,14,17,14,19,41,11,
7,16,19,14,16,41,11,
5,15,23,13,14,38,10,
8,13,19,13,25,37,12,
5,11,16,12,21,39,12,
8,15,17,11,23,47,14,
7,17,19,15,26,39,11,
6,15,24,16,24,41,11,
7,14,20,14,29,34,13,
7,17,17,16,25,36,11,
10,14,15,15,23,37,12,
8,15,18,13,20,32,11,
4,16,16,12,17,36,13,
7,16,14,10,19,33,13,