13,23,24,21,52,55,26,
11,24,21,18,44,45,19,
7,20,17,15,36,38,17,
11,17,15,13,30,32,16,
15,15,13,12,25,27,14,
12,12,11,10,21,23,16,
10,11,10,10,18,23,17,
16,10,9,10,15,21,17,
11,9,8,11,13,19,16,
10,9,10,9,14,21,17,
18,9,9,9,12,19,15,
13,8,9,10,12,20,14,
12,9,8,9,12,22,17,
14,9,8,9,22,23,15,
9,8,13,19,18,24,17,
10,9,12,16,18,24,20,
11,10,18,14,21,22,14,
10,9,20,16,17,20,17,
9,10,20,14,15,20,15,
8,10,19,12,13,19,15,
11,9,17,12,24,19,15,
7,9,15,11,28,26,18,
6,9,16,11,24,26,15,
10,9,14,10,29,25,15,
6,8,13,10,32,38,16,
5,9,13,10,35,37,15,
8,8,11,10,30,36,16,
4,8,10,11,32,31,16,
3,8,12,14,36,31,17,
8,9,17,12,38,29,19,
7,8,14,14,32,29,18,
4,9,20,12,34,38,17,
7,8,27,13,28,31,15,
7,8,26,11,23,26,17,
6,9,27,10,25,29,16,
6,8,23,10,21,26,16,
6,8,19,9,18,22,15,
5,8,16,9,15,20,16,
6,8,14,11,18,20,15,
7,8,14,10,16,21,15,
6,8,12,11,18,18,15,
7,8,10,10,15,19,14,
8,8,13,10,13,18,14,
7,10,12,12,12,19,15,
7,20,11,10,11,17,16,
7,22,10,10,11,19,16,
8,18,11,14,11,19,15,
9,16,9,13,14,18,16,
6,13,10,14,13,28,14,
9,12,8,12,15,28,22,
11,10,9,12,13,26,16,
10,9,8,13,14,29,15,
8,9,9,12,15,28,15,
11,9,11,13,16,36,18,
12,8,10,11,16,30,17,
12,10,11,10,14,25,14,
11,9,10,9,12,21,14,
14,8,9,9,14,18,14,
10,8,10,12,17,23,19,
8,21,13,11,15,19,15,